0, 0, FF7F3FFF, FFFFFFFF
0, 1, C000, 0
0, 2, FF7F3FFF, FFFFFFFF
0, 3, 40C000, 0
0, 4, FFBF3FFF, FFFFFFFF
0, 5, C000, 0
0, 6, FF7F3FFF, FFFFFFFF
0, 7, 40C000, 0
0, 8, FFFF3FFF, FFFFFFFF
0, 9, C000, 0
0, 10, FFFF3FFF, FFFFFFFF
0, 11, C000, 0
0, 12, FFFF3FFF, FFFFFFFF
0, 13, 40C000, 0
0, 14, FFBF3FFF, FFFFFFFF
0, 15, 8000C000, 0
0, 16, FFFF3FFF, FFFFFFFF
0, 17, C000, 0
0, 18, FFFF3FFF, FFFFFFFF
0, 19, C000, 0
0, 20, FFFF3FFF, FFFFFFFF
0, 21, 8000C000, 0
0, 22, FFFF3FFF, FFFFFFFF
0, 23, C000, 0
0, 24, FFFF3FFF, FFFFFFFF
0, 25, C000, 0
0, 26, FFFF3FFF, FFFFFFFF
0, 27, C000, 0
0, 28, FFBF3FFF, FFFFFFFF
0, 29, 8000C000, 0
0, 30, FFFF3FFF, FFFFFFFF
0, 31, 8000C000, 0
0, 32, FFFF3FFF, FFFFFFFF
0, 33, C000, 0
0, 34, FFFF3FFF, FFFFFFFF
0, 35, C000, 0
0, 36, FF7F3FFF, FFFFFFFF
0, 37, C000, 0
0, 38, FFFF3FFF, FFFFFFFF
0, 39, 40C000, 0
0, 40, FF7F3FFF, FFFFFFFF
0, 41, 40C000, 0
0, 42, FFFF3FFF, FFFFFFFF
0, 43, 40C000, 0
0, 44, FFFF3FFF, FFFFFFFF
0, 45, C000, 0
0, 46, FFFF3FFF, FFFFFFFF
0, 47, C0C000, 0
0, 48, FFFF3FFF, FFFFFFFF
0, 49, C000, 0
0, 50, FFBF3FFF, FFFFFFFF
0, 51, C000, 0
0, 52, FFFF3FFF, FFFFFFFF
0, 53, 8000C000, 0
0, 54, FFFF3FFF, FFFFFFFF
0, 55, 8000C000, 0
0, 56, FF7F3FFF, FFFFFFFF
0, 57, 80C000, 0
0, 58, FFBF3FFF, FFFFFFFF
0, 59, C000, 0
0, 60, FF7F3FFF, FFFFFFFF
0, 61, C000, 0
0, 62, FFFF3FFF, FFFFFFFF
0, 63, 8040C000, 0
0, 64, FFFF3FFF, FFFFFFFF
0, 65, C000, 0
0, 66, FFFF3FFF, FFFFFFFF
0, 67, C000, 0
0, 68, FFFF3FFF, FFFFFFFF
0, 69, 80C000, 0
0, 70, FFBF3FFF, FFFFFFFF
0, 71, C000, 0
0, 72, FFFF3FFF, FFFFFFFF
0, 73, C000, 0
0, 74, FF7F3FFF, FFFFFFFF
0, 75, C000, 0
0, 76, FFFF3FFF, FFFFFFFF
0, 77, 80C000, 0
0, 78, FFFF3FFF, FFFFFFFF
0, 79, C000, 0
0, 80, FFFF3FFF, FFFFFFFF
0, 81, C000, 0
0, 82, FFBF3FFF, FFFFFFFF
0, 83, 80C000, 0
0, 84, FFFF3FFF, FFFFFFFF
0, 85, C000, 0
0, 86, FFFF3FFF, FFFFFFFF
0, 87, 40C000, 0
0, 88, FFFF3FFF, FFFFFFFF
0, 89, C000, 0
0, 90, FFBF3FFF, FFFFFFFF
0, 91, C000, 0
0, 92, FFFF3FFF, FFFFFFFF
0, 93, 40C000, 0
0, 94, FFFF3FFF, FFFFFFFF
0, 95, C000, 0
0, 96, FFFF3FFF, FFFFFFFF
0, 97, C000, 0
0, 98, FFFF3FFF, FFFFFFFF
0, 99, C0C000, 0
0, 100, FFBF3FFF, FFFFFFFF
0, 101, C000, 0
0, 102, FFBF3FFF, FFFFFFFF
0, 103, 80C000, 0
0, 104, FFFF3FFF, FFFFFFFF
0, 105, 40C000, 0
0, 106, FFFF3FFF, FFFFFFFF
0, 107, C000, 0
0, 108, FFFF3FFF, FFFFFFFF
0, 109, C000, 0
0, 110, FFFF3FFF, FFFFFFFF
0, 111, 8000C000, 0
